"cd_geouf","cd_geocmu","regiao","uf","estado","municipio","bioma","arcodesmat","matopiba","mun_ha","area_ha","year"
"52","5206503","CENTRO-OESTE","GO","GOIÁS","CROMÍNIA","CERRADO","0","0","36410.50000000000","23924.12787228","2017"
"52","5206206","CENTRO-OESTE","GO","GOIÁS","CRISTALINA","CERRADO","0","0","616208.90000000002","112796.08942246","2017"
"31","3120706","SUDESTE","MG","MINAS GERAIS","CRUZEIRO DA FORTALEZA","CERRADO","0","0","18771.50000000000","7110.97975636","2017"
"51","5103403","CENTRO-OESTE","MT","MATO GROSSO","CUIABÁ","CERRADO","0","0","329353.70000000001","100353.49446744","2017"
"31","3120870","SUDESTE","MG","MINAS GERAIS","CURRAL DE DENTRO","CERRADO","0","0","57095.00000000000","5763.82238012","2017"
"52","5206602","CENTRO-OESTE","GO","GOIÁS","CUMARI","CERRADO","0","0","57054.30000000000","29521.81776341","2017"
"52","5206404","CENTRO-OESTE","GO","GOIÁS","CRIXÁS","CERRADO","0","0","466116.79999999999","233681.78708409","2017"
"52","5206800","CENTRO-OESTE","GO","GOIÁS","DAMOLÂNDIA","CERRADO","0","0","8449.50000000000","5859.23788924","2017"
"31","3121001","SUDESTE","MG","MINAS GERAIS","DATAS","CERRADO","0","0","31009.90000000000","3149.70367453","2017"
"52","5206701","CENTRO-OESTE","GO","GOIÁS","DAMIANÓPOLIS","CERRADO","0","0","41534.90000000000","14432.13353504","2017"
"31","3121258","SUDESTE","MG","MINAS GERAIS","DELTA","CERRADO","0","0","10289.30000000000","678.94731598","2017"
"22","2203305","NORDESTE","PI","PIAUÍ","DEMERVAL LOBÃO","CERRADO","0","0","21680.70000000000","466.67077598","2017"
"51","5103452","CENTRO-OESTE","MT","MATO GROSSO","DENISE","CERRADO","0","0","127850.20000000000","106.20126012","2017"
"31","3121209","SUDESTE","MG","MINAS GERAIS","DELFINÓPOLIS","CERRADO","0","0","137842.29999999999","24822.06616515","2017"
"35","3513702","SUDESTE","SP","SÃO PAULO","DESCALVADO","CERRADO","0","0","75370.60000000001","3652.39378017","2017"
"52","5206909","CENTRO-OESTE","GO","GOIÁS","DAVINÓPOLIS","CERRADO","0","0","48129.60000000000","24806.27437303","2017"
"31","3121605","SUDESTE","MG","MINAS GERAIS","DIAMANTINA","CERRADO","0","0","389165.90000000002","20300.41072964","2017"
"51","5103502","CENTRO-OESTE","MT","MATO GROSSO","DIAMANTINO","CERRADO","0","0","819157.69999999995","69810.32600069","2017"
"52","5207105","CENTRO-OESTE","GO","GOIÁS","DIORAMA","CERRADO","0","0","68734.80000000000","41959.76148073","2017"
"35","3514007","SUDESTE","SP","SÃO PAULO","DOBRADA","CERRADO","0","0","14972.90000000000","187.88344053","2017"
"52","5208301","CENTRO-OESTE","GO","GOIÁS","DIVINÓPOLIS DE GOIÁS","CERRADO","0","0","83097.10000000001","30520.30449643","2017"
"35","3514106","SUDESTE","SP","SÃO PAULO","DOIS CÓRREGOS","CERRADO","0","0","63297.20000000000","4244.17398896","2017"
"51","5103601","CENTRO-OESTE","MT","MATO GROSSO","DOM AQUINO","CERRADO","0","0","222426.89999999999","51604.20619504","2017"
"31","3122306","SUDESTE","MG","MINAS GERAIS","DIVINÓPOLIS","CERRADO","0","0","70811.50000000000","31459.08896779","2017"
"50","5003306","CENTRO-OESTE","MS","MATO GROSSO DO SUL","COXIM","CERRADO","0","0","640922.40000000002","300877.91620517","2017"
"31","3122470","SUDESTE","MG","MINAS GERAIS","DOM BOSCO","CERRADO","0","0","81738.30000000000","40852.72106777","2017"
"50","5003504","CENTRO-OESTE","MS","MATO GROSSO DO SUL","DOURADINA","CERRADO","0","0","28078.70000000000","0.00000000","2017"
"31","3123403","SUDESTE","MG","MINAS GERAIS","DORESÓPOLIS","CERRADO","0","0","15291.20000000000","9721.04332006","2017"
"35","3514304","SUDESTE","SP","SÃO PAULO","DOURADO","CERRADO","0","0","20587.40000000000","2629.27022277","2017"
